government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
OT1150	RWM	Other	radioactive-waste-management	Radioactive Waste Management	https://www.gov.uk/government/organisations/radioactive-waste-management	nuclear-decommissioning-authority
OT1151	PSR	Other	payment-systems-regulator	Payment Systems Regulator	https://www.gov.uk/government/organisations/payment-systems-regulator	hm-treasury
PB1152	DPEC	Executive non-departmental public body	disabled-peoples-employment-corporation	Disabled People’s Employment Corporation	https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation	department-for-work-pensions
OT1153	DSMA	Other	defence-and-security-media-advisory-committee	Defence and Security Media Advisory Committee	https://www.gov.uk/government/organisations/defence-and-security-media-advisory-committee	ministry-of-defence
PB1154		Executive non-departmental public body	ebbsfleet-development-corporation	Ebbsfleet Development Corporation	https://www.gov.uk/government/organisations/ebbsfleet-development-corporation	department-for-communities-and-local-government
CO1155		Court	family-division-of-the-high-court	Family Division of the High Court	https://www.gov.uk/courts-tribunals/family-division-of-the-high-court	hm-courts-and-tribunals-service
CO1156		Court	planning-court	Planning Court	https://www.gov.uk/courts-tribunals/planning-court	hm-courts-and-tribunals-service
CO1157		Court	technology-and-construction-court	Technology and Construction Court	https://www.gov.uk/courts-tribunals/technology-and-construction-court	hm-courts-and-tribunals-service
CO1158		Court	mercantile-court	Mercantile Court	https://www.gov.uk/courts-tribunals/mercantile-court	hm-courts-and-tribunals-service
CO1159		Court	commercial-court	Commercial Court	https://www.gov.uk/courts-tribunals/commercial-court	hm-courts-and-tribunals-service
CO1160		Court	companies-court	Companies Court	https://www.gov.uk/courts-tribunals/companies-court	hm-courts-and-tribunals-service
OT1161		Other	national-infrastructure-commission	National Infrastructure Commission	https://www.gov.uk/government/organisations/national-infrastructure-commission	hm-treasury
CO1162		Court	intellectual-property-enterprise-court	Intellectual Property Enterprise Court	https://www.gov.uk/courts-tribunals/intellectual-property-enterprise-court	hm-courts-and-tribunals-service
CO1163		Court	court-of-appeal-civil-division	Court of Appeal Civil Division	https://www.gov.uk/courts-tribunals/court-of-appeal-civil-division	hm-courts-and-tribunals-service
PB1164	HE	Executive non-departmental public body	historic-england	Historic England	https://www.gov.uk/government/organisations/historic-england	department-for-culture-media-sport
CO1165		Court	northampton-county-court-business-centre	Northampton County Court Business Centre	https://www.gov.uk/courts-tribunals/northampton-county-court-business-centre	hm-courts-and-tribunals-service
OT1166	IPA	Sub-organisation	infrastructure-and-projects-authority	Infrastructure and Projects Authority	https://www.gov.uk/government/organisations/infrastructure-and-projects-authority	cabinet-office;hm-treasury
OT1167		Sub-organisation	civil-service-fast-track-apprenticeship	Civil Service Fast Track Apprenticeship	https://www.gov.uk/government/organisations/civil-service-fast-track-apprenticeship	civil-service-resourcing
OT1168		Other	service-complaints-ombudsman	Service Complaints Ombudsman 	https://www.gov.uk/government/organisations/service-complaints-ombudsman	ministry-of-defence
OT1169	FSTIB	Sub-organisation	financial-services-trade-and-investment-board	Financial Services Trade and Investment Board	https://www.gov.uk/government/organisations/financial-services-trade-and-investment-board	hm-treasury
CO1170		Court	patents-court	Patents Court	https://www.gov.uk/courts-tribunals/patents-court	hm-courts-and-tribunals-service
PB1171	UKHMF	Advisory non-departmental public body	uk-holocaust-memorial-foundation	UK Holocaust Memorial Foundation	https://www.gov.uk/government/organisations/uk-holocaust-memorial-foundation	prime-ministers-office-10-downing-street
PB1172	CFP	Advisory non-departmental public body	committee-on-fuel-poverty	Committee on Fuel Poverty	https://www.gov.uk/government/organisations/committee-on-fuel-poverty	department-for-business-energy-and-industrial-strategy
OT1173		Other	department-for-communities-northern-ireland	Department for Communities (Northern Ireland)	https://www.gov.uk/government/organisations/department-for-communities-northern-ireland	
OT1174		Other	department-for-the-economy-northern-ireland	Department for the Economy (Northern Ireland)	https://www.gov.uk/government/organisations/department-for-the-economy-northern-ireland	
OT1175		Other	department-of-health-northern-ireland	Department of Health (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-health-northern-ireland	
OT1176		Other	department-for-infrastructure-northern-ireland	Department for Infrastructure (Northern Ireland)	https://www.gov.uk/government/organisations/department-for-infrastructure-northern-ireland	
OT1177		Other	department-of-finance-northern-ireland	Department of Finance (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-finance-northern-ireland	
OT1178		Other	department-of-agriculture-environment-and-rural-affairs-northern-ireland	Department of Agriculture, Environment and Rural Affairs (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland	
OT1179		Other	the-executive-office-northern-ireland	The Executive Office (Northern Ireland)	https://www.gov.uk/government/organisations/the-executive-office-northern-ireland	
OT1180	NDG	Other	national-data-guardian	National Data Guardian	https://www.gov.uk/government/organisations/national-data-guardian	department-of-health
CO1181		Court	court-of-appeal-criminal-division	Court of Appeal Criminal Division	https://www.gov.uk/courts-tribunals/court-of-appeal-criminal-division	hm-courts-and-tribunals-service
OT1182		Sub-organisation	digital-data-and-technology-professions	Digital, data and technology professions	https://www.gov.uk/government/organisations/digital-data-and-technology-professions	civil-service
CO1183		Court	queens-bench-division-of-the-high-court	Queen's Bench Division of the High Court	https://www.gov.uk/courts-tribunals/queens-bench-division-of-the-high-court	hm-courts-and-tribunals-service
OT1184	PBL	Other	porton-biopharma-limited	Porton Biopharma Limited	https://www.gov.uk/government/organisations/porton-biopharma-limited	department-of-health
PB1185		Advisory non-departmental public body	dormant-assets-commission	Independent Dormant Assets Commission 	https://www.gov.uk/government/organisations/dormant-assets-commission	
OT1186	UKGI	Other	uk-government-investments	UK Government Investments	https://www.gov.uk/government/organisations/uk-government-investments	hm-treasury
OT1187	OFSI	Sub-organisation	office-of-financial-sanctions-implementation	Office of Financial Sanctions Implementation	https://www.gov.uk/government/organisations/office-of-financial-sanctions-implementation	hm-treasury
CO1188		Court	administrative-court	Administrative Court	https://www.gov.uk/courts-tribunals/administrative-court	hm-courts-and-tribunals-service
OT1189		Sub-organisation	regulatory-delivery	Regulatory Delivery	https://www.gov.uk/government/organisations/regulatory-delivery	department-for-business-energy-and-industrial-strategy
OT1190		Other	lammy-review	Lammy Review	https://www.gov.uk/government/organisations/lammy-review	
OT1191	DSA	Sub-organisation	defence-safety-authority	Defence Safety Authority	https://www.gov.uk/government/organisations/defence-safety-authority	ministry-of-defence
OT1192	PCA	Other	pubs-code-adjudicator	Pubs Code Adjudicator	https://www.gov.uk/government/organisations/pubs-code-adjudicator	
PB1193		Advisory non-departmental public body	social-mobility-commission	Social Mobility Commission	https://www.gov.uk/government/organisations/social-mobility-commission	cabinet-office;department-for-education;department-for-work-pensions
PB1194	CAC Compensation	Ad-hoc advisory group	central-advisory-committee-on-compensation	Central Advisory Committee on Compensation	https://www.gov.uk/government/organisations/central-advisory-committee-on-compensation	ministry-of-defence
OT1195		Other	iraq-inquiry	Iraq Inquiry	https://www.gov.uk/government/organisations/iraq-inquiry	
D1196	DIT	Ministerial department	department-for-international-trade	Department for International Trade	https://www.gov.uk/government/organisations/department-for-international-trade	
D1197	DExEU	Ministerial department	department-for-exiting-the-european-union	Department for Exiting the European Union	https://www.gov.uk/government/organisations/department-for-exiting-the-european-union	
D1198	BEIS	Ministerial department	department-for-business-energy-and-industrial-strategy	Department for Business, Energy & Industrial Strategy	https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy	
PB1199		Other	nhs-improvement	NHS Improvement	https://www.gov.uk/government/organisations/nhs-improvement	department-of-health
OT1200		Sub-organisation	civil-service-board	Civil Service Board	https://www.gov.uk/government/organisations/civil-service-board	civil-service
OT1201		Sub-organisation	cabinet-office-board	Cabinet Office Board	https://www.gov.uk/government/organisations/cabinet-office-board	cabinet-office
PB1202		Executive non-departmental public body	nhs-digital	NHS Digital	https://www.gov.uk/government/organisations/nhs-digital	department-of-health
IM1203		Independent monitoring body	the-electoral-commission	The Electoral Commission	https://www.gov.uk/government/organisations/the-electoral-commission	
PB1204	VTE	Tribunal non-departmental public body	valuation-tribunal-for-england	Valuation Tribunal for England 	https://www.gov.uk/government/organisations/valuation-tribunal-for-england	department-for-communities-and-local-government
CO1205		Court	chancery-division-of-the-high-court	Chancery Division of the High Court	https://www.gov.uk/courts-tribunals/chancery-division-of-the-high-court	hm-courts-and-tribunals-service
OT1206		Sub-organisation	defence-and-security-accelerator	Defence and Security Accelerator	https://www.gov.uk/government/organisations/defence-and-security-accelerator	defence-science-and-technology-laboratory
