government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
civil-aviation-authority	Civil Aviation Authority	https://www.gov.uk/government/organisations/civil-aviation-authority	Public corporation	https://www.gov.uk/api/organisations/department-for-transport				CAA		
civil-justice-council	Civil Justice Council	https://www.gov.uk/government/organisations/civil-justice-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				CJC		
civil-nuclear-constabulary	Civil Nuclear Constabulary	https://www.gov.uk/government/organisations/civil-nuclear-constabulary	Sub-organisation	https://www.gov.uk/api/organisations/civil-nuclear-police-authority				CNC		
civil-nuclear-police-authority	Civil Nuclear Police Authority	https://www.gov.uk/government/organisations/civil-nuclear-police-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				CNPA		
civil-procedure-rules-committee	Civil Procedure Rule Committee	https://www.gov.uk/government/organisations/civil-procedure-rules-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				CPRC		
civil-service	Civil Service	https://www.gov.uk/government/organisations/civil-service	Civil Service	https://www.gov.uk/api/organisations/cabinet-office			#af292e	the Civil Service		
civil-service-board	Civil Service Board	https://www.gov.uk/government/organisations/civil-service-board	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-commission		https://www.gov.uk/government/organisations/civil-service-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				CSC		
civil-service-corporate-finance-profession-cfp	Government Corporate Finance Commission	https://www.gov.uk/government/organisations/civil-service-corporate-finance-profession-cfp	Sub-organisation	https://www.gov.uk/api/organisations/uk-government-investments				GCFP		
civil-service-fast-stream	Civil Service Fast Stream	https://www.gov.uk/government/organisations/civil-service-fast-stream	Sub-organisation	https://www.gov.uk/api/organisations/civil-service-resourcing						
civil-service-fast-track-apprenticeship	Civil Service Fast Track Apprenticeship	https://www.gov.uk/government/organisations/civil-service-fast-track-apprenticeship	Sub-organisation	https://www.gov.uk/api/organisations/civil-service-resourcing						
civil-service-government-communication-service	Government Communication Service	https://www.gov.uk/government/organisations/civil-service-government-communication-service	Sub-organisation	https://www.gov.uk/api/organisations/civil-service				GCS		
civil-service-government-economic-service	Government Economic Service	https://www.gov.uk/government/organisations/civil-service-government-economic-service	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-finance-profession	Government Finance Profession	https://www.gov.uk/government/organisations/civil-service-government-finance-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-it-profession	Government IT Profession	https://www.gov.uk/government/organisations/civil-service-government-it-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-knowledge-information-management-profession	Government Knowledge & Information Management Profession	https://www.gov.uk/government/organisations/civil-service-government-knowledge-information-management-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-legal-service	Government Legal Service	https://www.gov.uk/government/organisations/civil-service-government-legal-service	Sub-organisation	https://www.gov.uk/api/organisations/civil-service				GLS		
civil-service-government-occupational-psychology-profession	Government Occupational Psychology Profession	https://www.gov.uk/government/organisations/civil-service-government-occupational-psychology-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-operational-research-service	Government Operational Research Service	https://www.gov.uk/government/organisations/civil-service-government-operational-research-service	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-planning-inspectors	Government Planning Inspectors	https://www.gov.uk/government/organisations/civil-service-government-planning-inspectors	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-property-profession	Government Property Profession	https://www.gov.uk/government/organisations/civil-service-government-property-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-science-engineering	Government Science & Engineering Profession	https://www.gov.uk/government/organisations/civil-service-government-science-engineering	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-social-research-profession	Government Social Research Profession	https://www.gov.uk/government/organisations/civil-service-government-social-research-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-statistical-service	Government Statistical Service	https://www.gov.uk/government/organisations/civil-service-government-statistical-service	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-tax-profession	Government Tax Profession	https://www.gov.uk/government/organisations/civil-service-government-tax-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-government-veterinary-surgeons	Government Veterinary Services	https://www.gov.uk/government/organisations/civil-service-government-veterinary-surgeons	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-human-resources-profession	Human Resources Profession	https://www.gov.uk/government/organisations/civil-service-human-resources-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-intelligence-analysis-profession	Intelligence Analysis	https://www.gov.uk/government/organisations/civil-service-intelligence-analysis-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-internal-audit-profession	Internal Audit Profession	https://www.gov.uk/government/organisations/civil-service-internal-audit-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-medical-profession	Medical Profession	https://www.gov.uk/government/organisations/civil-service-medical-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-operational-delivery-profession	Operational Delivery Profession	https://www.gov.uk/government/organisations/civil-service-operational-delivery-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-policy-profession	Policy Profession	https://www.gov.uk/government/organisations/civil-service-policy-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-procurement-profession	Procurement profession	https://www.gov.uk/government/organisations/civil-service-procurement-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-project-delivery-profession	Project Delivery Profession	https://www.gov.uk/government/organisations/civil-service-project-delivery-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-reform	Civil Service Reform	https://www.gov.uk/government/organisations/civil-service-reform	Sub-organisation	https://www.gov.uk/api/organisations/civil-service				CSR		
civil-service-resourcing	Civil Service Resourcing	https://www.gov.uk/government/organisations/civil-service-resourcing	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
civil-service-the-government-planning-profession	Government Planning Profession	https://www.gov.uk/government/organisations/civil-service-the-government-planning-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
clacton-and-harwich-education-action-zone	Clacton and Harwich Education Action Zone	https://www.gov.uk/government/organisations/clacton-and-harwich-education-action-zone	Other							
co2sense	CO2Sense	https://www.gov.uk/government/organisations/co2sense	Other							03/2012
commercial-court	Commercial Court	https://www.gov.uk/courts-tribunals/commercial-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
commission-for-architecture-and-the-built-environment-cabe	Commission for Architecture and the Built Environment (CABE)	https://www.gov.uk/government/organisations/commission-for-architecture-and-the-built-environment-cabe	Advisory non-departmental public body							
commission-for-health-improvement	Commission for Health Improvement	https://www.gov.uk/government/organisations/commission-for-health-improvement	Other							31-03-2004
